account_id,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,total_subscriptions,active_subscriptions,avg_subscription_duration_days,avg_sub_seats,max_sub_seats,avg_mrr_amount,max_mrr_amount,avg_arr_amount,total_arr_amount,trial_subscription_count,auto_renew_count,upgrade_count,downgrade_count,recent_upgrade_90d,recent_downgrade_90d,ended_subscriptions_count,max_subscription_duration_days,active_subscription_ratio,auto_renew_ratio,latest_plan_tier,latest_billing_frequency,latest_auto_renew_flag,latest_is_trial,days_since_last_subscription_change,total_usage_count,total_usage_duration_secs,total_error_count,unique_feature_count,beta_feature_usage_count,last_usage_date,days_since_last_usage,total_tickets,avg_resolution_time_hours,avg_first_response_time_minutes,avg_satisfaction_score,escalation_count,latest_ticket_date,escalation_ratio,reference_date,account_age_days,avg_resolution_time_hours_missing_flag,avg_first_response_time_minutes_missing_flag,avg_satisfaction_score_missing_flag,is_inactive_user,has_no_ticket_history,usage_per_subscription,ticket_per_subscription,error_per_subscription,error_rate,health_score,churn_event_count,latest_churn_date,latest_reason_code,total_refund_amount_usd,reactivation_count
A-2e4581,EdTech,US,2024-10-16,partner,Basic,9,0,0,10,10,41.7,31.2,102,1260.3,5771,15123.6,151236,2,8,1,0,1,0,0,72,1.0,0.8,Basic,monthly,1,0,9,535,152339,38,27,4,2024-12-10,21,2.0,23.0,91.0,3.0,0.0,2024-12-10 00:00:00,0.0,2024-12-31,76,0,0,0,0,0,53.5,0.2,3.8,0.0710280373831775,9.961198484330115,2.0,2024-12-05,competitor,0.0,0.0
A-43a9e3,FinTech,IN,2023-08-17,other,Basic,18,0,1,8,8,335.125,22.0,28,1250.5,5572,15006.0,120048,0,6,3,0,0,0,0,468,1.0,0.75,Pro,monthly,1,0,176,355,101136,14,23,2,2024-12-29,2,3.0,38.0,73.33333333333333,4.0,0.0,2024-06-26 00:00:00,0.0,2024-12-31,502,0,0,0,0,0,44.375,0.375,1.75,0.0394366197183098,9.762051462608426,,,,,
A-0a282f,DevTools,US,2024-08-27,organic,Basic,1,0,0,15,12,54.13333333333333,18.8,60,1219.0666666666666,5771,14628.8,219432,1,15,1,1,1,1,3,86,0.8,1.0,Pro,annual,1,0,4,821,251210,48,34,5,2024-12-22,9,3.0,43.66666666666666,63.66666666666666,4.666666666666667,0.0,2024-10-26 00:00:00,0.0,2024-12-31,126,0,0,0,0,0,54.73333333333333,0.2,3.2,0.0584652862362971,11.091428692030773,2.0,2024-12-31,support,62.66,0.0
A-1f0ac7,HealthTech,UK,2023-08-27,other,Basic,24,1,0,7,7,204.57142857142856,29.857142857142858,47,1325.0,4776,15900.0,111300,1,5,2,0,1,0,0,393,1.0,0.7142857142857143,Pro,monthly,1,0,11,382,102528,21,26,5,2024-12-11,20,2.0,29.0,174.0,4.0,0.0,2024-04-12 00:00:00,0.0,2024-12-31,492,0,0,1,0,0,54.57142857142857,0.2857142857142857,3.0,0.0549738219895288,9.897574173808758,1.0,2024-11-08,support,0.0,0.0
A-ce550d,HealthTech,US,2024-10-27,event,Enterprise,35,0,1,9,7,33.888888888888886,47.11111111111112,109,5417.888888888889,21691,65014.66666666666,585132,1,6,2,0,2,0,2,64,0.7777777777777778,0.6666666666666666,Enterprise,monthly,1,0,0,579,215779,31,32,4,2024-12-23,8,7.0,42.285714285714285,107.85714285714286,3.8,1.0,2024-10-25 00:00:00,0.1428571428571428,2024-12-31,65,0,0,0,0,0,64.33333333333333,0.7777777777777778,3.4444444444444446,0.0535405872193437,10.27595971303721,1.0,2024-12-28,budget,0.0,0.0
A-1b9609,EdTech,IN,2023-10-12,ads,Enterprise,4,0,0,11,10,236.27272727272728,19.545454545454547,49,1528.1818181818182,6965,18338.18181818182,201720,1,9,0,0,0,0,1,396,0.9090909090909092,0.8181818181818182,Enterprise,annual,1,1,89,457,140541,21,28,6,2024-11-20,41,4.0,43.0,74.75,3.0,0.0,2024-10-22 00:00:00,0.0,2024-12-31,446,0,0,0,0,0,41.54545454545455,0.3636363636363636,1.9090909090909087,0.0459518599562363,9.923496623410388,3.0,2024-11-16,unknown,0.0,0.0
A-a0ca4e,Cybersecurity,US,2024-03-08,ads,Pro,11,0,0,9,9,142.66666666666666,19.55555555555556,49,1848.111111111111,5174,22177.33333333333,199596,1,8,0,0,0,0,0,290,1.0,0.8888888888888888,Enterprise,monthly,1,0,30,373,116964,14,26,3,2024-12-17,14,6.0,39.16666666666666,89.83333333333333,3.8,3.0,2024-12-02 00:00:00,0.5,2024-12-31,298,0,0,0,0,0,41.44444444444444,0.6666666666666666,1.5555555555555556,0.0375335120643431,9.565758436430478,,,,,
A-e5d6ab,EdTech,US,2023-04-15,partner,Pro,3,0,0,10,9,311.2,18.9,39,1304.8,4179,15657.6,156576,1,9,0,0,0,0,1,600,0.9,0.9,Pro,annual,1,0,51,382,111506,23,29,5,2024-12-02,29,3.0,42.66666666666666,57.0,4.0,0.0,2024-09-17 00:00:00,0.0,2024-12-31,626,0,0,1,0,0,38.2,0.3,2.3,0.0602094240837696,9.973185250423953,2.0,2024-05-11,competitor,0.0,0.0
A-7dacce,Cybersecurity,CA,2024-09-10,event,Enterprise,12,0,1,10,10,60.3,21.6,67,2305.7,13333,27668.4,276684,3,7,1,0,1,0,0,112,1.0,0.7,Pro,annual,1,1,27,472,145429,29,27,5,2024-12-29,2,4.0,32.5,75.25,3.6666666666666665,0.0,2024-03-16 00:00:00,0.0,2024-12-31,112,0,0,0,0,0,47.2,0.4,2.9,0.0614406779661017,10.000763175503296,3.0,2024-12-27,budget,0.0,0.0
A-10b8da,DevTools,US,2023-05-08,partner,Enterprise,14,0,1,6,5,266.0,19.33333333333333,34,1464.5,3383,17574.0,105444,1,4,1,0,0,0,1,571,0.8333333333333334,0.6666666666666666,Pro,monthly,1,0,108,257,73818,14,23,2,2024-12-23,8,3.0,31.33333333333333,71.33333333333333,3.5,0.0,2023-09-23 00:00:00,0.0,2024-12-31,603,0,0,0,0,0,42.833333333333336,0.5,2.333333333333333,0.0544747081712062,9.208639874413532,,,,,
A-592832,Cybersecurity,US,2024-09-25,organic,Basic,18,0,1,19,16,47.36842105263158,27.63157894736842,60,1714.2631578947369,8358,20571.157894736843,390852,3,15,1,1,1,1,3,96,0.8421052631578947,0.7894736842105263,Pro,annual,0,0,0,1053,326283,55,38,13,2024-12-30,1,3.0,32.666666666666664,80.66666666666667,5.0,0.0,2024-10-27 00:00:00,0.0,2024-12-31,97,0,0,0,0,0,55.42105263157895,0.1578947368421052,2.8947368421052637,0.0522317188983855,11.573277096528502,1.0,2024-10-04,support,22.66,0.0
A-d40bf7,FinTech,IN,2024-11-08,organic,Basic,59,0,0,10,10,21.7,59.0,59,4324.7,11741,51896.4,518964,3,6,1,0,1,0,0,52,1.0,0.6,Basic,monthly,1,0,2,562,150186,22,29,5,2024-11-21,40,2.0,20.5,125.5,5.0,0.0,2024-11-03 00:00:00,0.0,2024-12-31,53,0,0,0,0,0,56.2,0.2,2.2,0.0391459074733096,10.738747472435298,,,,,
A-6c093d,DevTools,US,2023-04-14,partner,Basic,7,1,0,12,9,246.25,19.75,62,1353.5,12139,16242.0,194904,2,10,2,0,0,0,3,611,0.75,0.8333333333333334,Enterprise,annual,1,1,19,670,217275,30,30,10,2024-12-30,1,3.0,40.333333333333336,68.33333333333333,5.0,1.0,2024-07-11 00:00:00,0.3333333333333333,2024-12-31,627,0,0,0,0,0,55.833333333333336,0.25,2.5,0.044776119402985,10.739709077775236,,,,,
A-462d45,Cybersecurity,US,2024-01-15,partner,Enterprise,11,1,0,12,10,198.08333333333331,37.25,89,1952.6666666666667,10348,23432.0,281184,2,10,1,2,0,0,2,322,0.8333333333333334,0.8333333333333334,Pro,annual,1,0,21,642,159561,26,34,8,2024-12-16,15,4.0,26.75,95.0,4.0,0.0,2024-12-15 00:00:00,0.0,2024-12-31,351,0,0,0,0,0,53.5,0.3333333333333333,2.1666666666666665,0.0404984423676012,10.735667240555692,1.0,2024-05-17,competitor,0.0,0.0
