account_id,seats,is_trial,total_subscriptions,active_subscriptions,avg_subscription_duration_days,avg_sub_seats,max_sub_seats,avg_mrr_amount,max_mrr_amount,avg_arr_amount,total_arr_amount,trial_subscription_count,auto_renew_count,upgrade_count,downgrade_count,recent_upgrade_90d,recent_downgrade_90d,ended_subscriptions_count,max_subscription_duration_days,active_subscription_ratio,auto_renew_ratio,latest_auto_renew_flag,latest_is_trial,days_since_last_subscription_change,total_usage_count,total_usage_duration_secs,total_error_count,unique_feature_count,beta_feature_usage_count,days_since_last_usage,total_tickets,avg_resolution_time_hours,avg_first_response_time_minutes,avg_satisfaction_score,escalation_count,escalation_ratio,account_age_days,avg_resolution_time_hours_missing_flag,avg_first_response_time_minutes_missing_flag,avg_satisfaction_score_missing_flag,is_inactive_user,has_no_ticket_history,usage_per_subscription,ticket_per_subscription,error_per_subscription,error_rate,health_score,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,plan_tier_Basic,plan_tier_Enterprise,plan_tier_Pro,latest_plan_tier_Basic,latest_plan_tier_Enterprise,latest_plan_tier_Pro,latest_billing_frequency_annual,latest_billing_frequency_monthly,churn_flag
A-dec005,21,0,10,9,192.2,25.8,54,3074.4,10746,36892.8,368928,2,7,1,0,1,0,1,441,0.9,0.7,0,0,28,475,145213,44,31,6,4,2.0,59.0,152.0,3.0,0.0,0.0,445,0,0,0,0,0,47.5,0.2,4.4,0.0926315789473684,9.867995862294304,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,0
A-463db0,15,0,7,7,10.857142857142858,24.857142857142858,42,1895.142857142857,8358,22741.714285714286,159192,0,5,0,0,0,0,0,22,1.0,0.7142857142857143,1,0,0,367,106259,13,25,3,4,6.0,50.166666666666664,94.83333333333331,4.25,1.0,0.1666666666666666,26,0,0,0,0,0,52.42857142857143,0.8571428571428571,1.8571428571428572,0.0354223433242506,9.753948711950112,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,0
A-94c3cd,32,0,6,6,136.33333333333334,35.0,45,1506.0,6368,18072.0,108432,3,4,0,0,0,0,0,360,1.0,0.6666666666666666,1,0,16,306,104197,18,18,4,20,4.0,44.75,116.5,3.5,1.0,0.25,468,0,0,0,0,0,51.0,0.6666666666666666,3.0,0.0588235294117647,8.960502413028147,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,0
A-7da956,13,1,12,10,107.83333333333331,14.916666666666666,26,913.5833333333334,2985,10963.0,131556,3,11,1,2,0,2,2,199,0.8333333333333334,0.9166666666666666,1,0,45,543,150431,35,28,4,9,3.0,32.666666666666664,88.0,5.0,0.0,0.0,212,0,0,0,0,0,45.25,0.25,2.9166666666666665,0.0644567219152854,10.53146146726599,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,0
A-075038,17,0,14,14,282.85714285714283,31.428571428571427,103,1350.642857142857,5047,16207.714285714286,226908,3,11,1,0,0,0,0,536,1.0,0.7857142857142857,1,0,66,743,198728,31,32,9,10,2.0,43.5,54.0,3.0,0.0,0.0,599,0,0,0,0,0,53.07142857142857,0.1428571428571428,2.2142857142857144,0.0417227456258411,10.61422058245608,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,0
A-ac9111,21,1,16,14,178.375,26.625,56,1664.125,6368,19969.5,319512,2,14,0,1,0,0,2,482,0.875,0.875,1,0,10,808,254330,46,36,10,4,3.0,24.666666666666668,89.66666666666667,5.0,0.0,0.0,507,0,0,0,0,0,50.5,0.1875,2.875,0.0569306930693069,11.22518836435618,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,0
A-89ee83,1,0,11,9,32.0,23.0,74,2264.2727272727275,7960,27171.272727272728,298884,0,11,3,0,3,0,2,74,0.8181818181818182,1.0,1,0,4,565,172626,26,28,6,14,5.0,21.8,66.2,4.0,1.0,0.2,88,0,0,0,0,0,51.36363636363637,0.4545454545454545,2.363636363636364,0.0460176991150442,10.262165048978073,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,1
A-78f02b,11,0,4,4,31.25,54.75,179,3770.25,8771,45243.0,180972,0,3,1,0,1,0,0,42,1.0,0.75,1,0,23,211,62349,16,17,3,32,4.0,45.75,55.0,4.0,0.0,0.0,44,0,0,0,0,0,52.75,1.0,4.0,0.0758293838862559,8.617811113136897,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,0
A-39ddf4,40,0,9,8,9.22222222222222,40.44444444444444,44,3981.777777777778,7960,47781.333333333336,430032,0,7,0,0,0,0,1,24,0.8888888888888888,0.7777777777777778,1,0,1,455,139654,36,27,6,16,5.0,23.0,76.2,4.25,0.0,0.0,26,0,0,0,0,0,50.55555555555556,0.5555555555555556,4.0,0.0791208791208791,9.982704035196305,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,0
A-e351e1,33,0,5,4,66.0,33.0,33,699.6,1617,8395.2,41976,1,4,0,0,0,0,1,95,0.8,0.8,1,0,2,295,102452,22,18,3,17,4.0,17.0,65.25,3.75,0.0,0.0,96,0,0,0,0,0,59.0,0.8,4.4,0.0745762711864406,8.999417077558297,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,0
