account_id,seats,is_trial,churn_flag,total_subscriptions,active_subscriptions,avg_subscription_duration_days,avg_sub_seats,max_sub_seats,avg_mrr_amount,max_mrr_amount,avg_arr_amount,total_arr_amount,trial_subscription_count,auto_renew_count,upgrade_count,downgrade_count,recent_upgrade_90d,recent_downgrade_90d,ended_subscriptions_count,max_subscription_duration_days,active_subscription_ratio,auto_renew_ratio,latest_auto_renew_flag,latest_is_trial,days_since_last_subscription_change,total_usage_count,total_usage_duration_secs,total_error_count,unique_feature_count,beta_feature_usage_count,days_since_last_usage,total_tickets,avg_resolution_time_hours,avg_first_response_time_minutes,avg_satisfaction_score,escalation_count,escalation_ratio,account_age_days,avg_resolution_time_hours_missing_flag,avg_first_response_time_minutes_missing_flag,avg_satisfaction_score_missing_flag,is_inactive_user,has_no_ticket_history,usage_per_subscription,ticket_per_subscription,error_per_subscription,error_rate,health_score,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,plan_tier_Basic,plan_tier_Enterprise,plan_tier_Pro,latest_plan_tier_Basic,latest_plan_tier_Enterprise,latest_plan_tier_Pro,latest_billing_frequency_annual,latest_billing_frequency_monthly
A-2e4581,9,0,0,10,10,41.7,31.2,102,1260.3,5771,15123.6,151236,2,8,1,0,1,0,0,72,1.0,0.8,1,0,9,535,152339,38,27,4,21,2.0,23.0,91.0,3.0,0.0,0.0,76,0,0,0,0,0,53.5,0.2,3.8,0.07102803738317758,9.961198484330117,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True
A-43a9e3,18,0,1,8,8,335.125,22.0,28,1250.5,5572,15006.0,120048,0,6,3,0,0,0,0,468,1.0,0.75,1,0,176,355,101136,14,23,2,2,3.0,38.0,73.33333333333333,4.0,0.0,0.0,502,0,0,0,0,0,44.375,0.375,1.75,0.03943661971830986,9.762051462608426,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True
A-0a282f,1,0,0,15,12,54.13333333333333,18.8,60,1219.0666666666666,5771,14628.8,219432,1,15,1,1,1,1,3,86,0.8,1.0,1,0,4,821,251210,48,34,5,9,3.0,43.666666666666664,63.666666666666664,4.666666666666667,0.0,0.0,126,0,0,0,0,0,54.733333333333334,0.2,3.2,0.058465286236297195,11.091428692030773,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
A-1f0ac7,24,1,0,7,7,204.57142857142858,29.857142857142858,47,1325.0,4776,15900.0,111300,1,5,2,0,1,0,0,393,1.0,0.7142857142857143,1,0,11,382,102528,21,26,5,20,2.0,29.0,174.0,4.0,0.0,0.0,492,0,0,1,0,0,54.57142857142857,0.2857142857142857,3.0,0.0549738219895288,9.897574173808758,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True
A-ce550d,35,0,1,9,7,33.888888888888886,47.111111111111114,109,5417.888888888889,21691,65014.666666666664,585132,1,6,2,0,2,0,2,64,0.7777777777777778,0.6666666666666666,1,0,0,579,215779,31,32,4,8,7.0,42.285714285714285,107.85714285714286,3.8,1.0,0.1428571428571428,65,0,0,0,0,0,64.33333333333333,0.7777777777777778,3.4444444444444446,0.0535405872193437,10.27595971303721,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
A-1b9609,4,0,0,11,10,236.27272727272728,19.545454545454547,49,1528.1818181818182,6965,18338.18181818182,201720,1,9,0,0,0,0,1,396,0.9090909090909091,0.8181818181818182,1,1,89,457,140541,21,28,6,41,4.0,43.0,74.75,3.0,0.0,0.0,446,0,0,0,0,0,41.54545454545455,0.36363636363636365,1.9090909090909092,0.045951859956236324,9.923496623410387,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
A-a0ca4e,11,0,0,9,9,142.66666666666666,19.555555555555557,49,1848.111111111111,5174,22177.333333333332,199596,1,8,0,0,0,0,0,290,1.0,0.8888888888888888,1,0,30,373,116964,14,26,3,14,6.0,39.166666666666664,89.83333333333333,3.8,3.0,0.5,298,0,0,0,0,0,41.44444444444444,0.6666666666666666,1.5555555555555556,0.03753351206434316,9.565758436430478,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True
A-e5d6ab,3,0,0,10,9,311.2,18.9,39,1304.8,4179,15657.6,156576,1,9,0,0,0,0,1,600,0.9,0.9,1,0,51,382,111506,23,29,5,29,3.0,42.666666666666664,57.0,4.0,0.0,0.0,626,0,0,1,0,0,38.2,0.3,2.3,0.060209424083769635,9.973185250423953,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False
A-7dacce,12,0,1,10,10,60.3,21.6,67,2305.7,13333,27668.4,276684,3,7,1,0,1,0,0,112,1.0,0.7,1,1,27,472,145429,29,27,5,2,4.0,32.5,75.25,3.6666666666666665,0.0,0.0,112,0,0,0,0,0,47.2,0.4,2.9,0.0614406779661017,10.000763175503295,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
A-10b8da,14,0,1,6,5,266.0,19.333333333333332,34,1464.5,3383,17574.0,105444,1,4,1,0,0,0,1,571,0.8333333333333334,0.6666666666666666,1,0,108,257,73818,14,23,2,8,3.0,31.333333333333332,71.33333333333333,3.5,0.0,0.0,603,0,0,0,0,0,42.833333333333336,0.5,2.3333333333333335,0.054474708171206226,9.208639874413532,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True
A-592832,18,0,1,19,16,47.36842105263158,27.63157894736842,60,1714.2631578947369,8358,20571.157894736843,390852,3,15,1,1,1,1,3,96,0.8421052631578947,0.7894736842105263,0,0,0,1053,326283,55,38,13,1,3.0,32.666666666666664,80.66666666666667,5.0,0.0,0.0,97,0,0,0,0,0,55.421052631578945,0.15789473684210525,2.8947368421052633,0.052231718898385564,11.573277096528502,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
A-d40bf7,59,0,0,10,10,21.7,59.0,59,4324.7,11741,51896.4,518964,3,6,1,0,1,0,0,52,1.0,0.6,1,0,2,562,150186,22,29,5,40,2.0,20.5,125.5,5.0,0.0,0.0,53,0,0,0,0,0,56.2,0.2,2.2,0.03914590747330961,10.738747472435298,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
A-6c093d,7,1,0,12,9,246.25,19.75,62,1353.5,12139,16242.0,194904,2,10,2,0,0,0,3,611,0.75,0.8333333333333334,1,1,19,670,217275,30,30,10,1,3.0,40.333333333333336,68.33333333333333,5.0,1.0,0.3333333333333333,627,0,0,0,0,0,55.833333333333336,0.25,2.5,0.04477611940298507,10.739709077775236,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False
A-462d45,11,1,0,12,10,198.08333333333334,37.25,89,1952.6666666666667,10348,23432.0,281184,2,10,1,2,0,0,2,322,0.8333333333333334,0.8333333333333334,1,0,21,642,159561,26,34,8,15,4.0,26.75,95.0,4.0,0.0,0.0,351,0,0,0,0,0,53.5,0.3333333333333333,2.1666666666666665,0.040498442367601244,10.735667240555692,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False
A-956988,1,0,0,13,12,17.307692307692307,29.76923076923077,72,2262.076923076923,10945,27144.923076923078,352884,2,10,0,1,0,1,1,30,0.9230769230769231,0.7692307692307693,1,0,1,658,173232,49,32,8,7,2.0,50.5,118.0,3.0,0.0,0.0,31,0,0,0,0,0,50.61538461538461,0.15384615384615385,3.769230769230769,0.07446808510638298,10.326429131975534,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
