column,missing_flag,customer_count,churn_rate
account_id,0,500,0.22
seats,0,500,0.22
is_trial,0,500,0.22
total_subscriptions,0,500,0.22
active_subscriptions,0,500,0.22
avg_subscription_duration_days,0,500,0.22
avg_sub_seats,0,500,0.22
max_sub_seats,0,500,0.22
avg_mrr_amount,0,500,0.22
max_mrr_amount,0,500,0.22
avg_arr_amount,0,500,0.22
total_arr_amount,0,500,0.22
trial_subscription_count,0,500,0.22
auto_renew_count,0,500,0.22
upgrade_count,0,500,0.22
downgrade_count,0,500,0.22
recent_upgrade_90d,0,500,0.22
recent_downgrade_90d,0,500,0.22
ended_subscriptions_count,0,500,0.22
max_subscription_duration_days,0,500,0.22
active_subscription_ratio,0,500,0.22
auto_renew_ratio,0,500,0.22
latest_auto_renew_flag,0,500,0.22
latest_is_trial,0,500,0.22
days_since_last_subscription_change,0,500,0.22
total_usage_count,0,500,0.22
total_usage_duration_secs,0,500,0.22
total_error_count,0,500,0.22
unique_feature_count,0,500,0.22
beta_feature_usage_count,0,500,0.22
days_since_last_usage,0,500,0.22
total_tickets,0,500,0.22
avg_resolution_time_hours,0,500,0.22
avg_first_response_time_minutes,0,500,0.22
avg_satisfaction_score,0,500,0.22
escalation_count,0,500,0.22
escalation_ratio,0,500,0.22
account_age_days,0,500,0.22
avg_resolution_time_hours_missing_flag,0,500,0.22
avg_first_response_time_minutes_missing_flag,0,500,0.22
avg_satisfaction_score_missing_flag,0,500,0.22
is_inactive_user,0,500,0.22
has_no_ticket_history,0,500,0.22
usage_per_subscription,0,500,0.22
ticket_per_subscription,0,500,0.22
error_per_subscription,0,500,0.22
error_rate,0,500,0.22
health_score,0,500,0.22
industry_Cybersecurity,0,500,0.22
industry_DevTools,0,500,0.22
industry_EdTech,0,500,0.22
industry_FinTech,0,500,0.22
industry_HealthTech,0,500,0.22
country_AU,0,500,0.22
country_CA,0,500,0.22
country_DE,0,500,0.22
country_FR,0,500,0.22
country_IN,0,500,0.22
country_UK,0,500,0.22
country_US,0,500,0.22
referral_source_ads,0,500,0.22
referral_source_event,0,500,0.22
referral_source_organic,0,500,0.22
referral_source_other,0,500,0.22
referral_source_partner,0,500,0.22
plan_tier_Basic,0,500,0.22
plan_tier_Enterprise,0,500,0.22
plan_tier_Pro,0,500,0.22
latest_plan_tier_Basic,0,500,0.22
latest_plan_tier_Enterprise,0,500,0.22
latest_plan_tier_Pro,0,500,0.22
latest_billing_frequency_annual,0,500,0.22
latest_billing_frequency_monthly,0,500,0.22
