model,threshold,accuracy,precision,recall,f1,roc_auc,pred_positive_rate
logistic_regression,0.05,0.22666666666666666,0.21621621621621623,1.0,0.35555555555555557,0.6122881355932204,0.9866666666666667
logistic_regression,0.1,0.22666666666666666,0.21621621621621623,1.0,0.35555555555555557,0.6122881355932204,0.9866666666666667
logistic_regression,0.15,0.24,0.2191780821917808,1.0,0.3595505617977528,0.6122881355932204,0.9733333333333334
logistic_regression,0.2,0.25333333333333335,0.2222222222222222,1.0,0.36363636363636365,0.6122881355932204,0.96
logistic_regression,0.25,0.28,0.22857142857142856,1.0,0.37209302325581395,0.6122881355932204,0.9333333333333333
logistic_regression,0.3,0.30666666666666664,0.22727272727272727,0.9375,0.36585365853658536,0.6122881355932204,0.88
logistic_regression,0.35,0.37333333333333335,0.2459016393442623,0.9375,0.38961038961038963,0.6122881355932204,0.8133333333333334
logistic_regression,0.4,0.4533333333333333,0.2641509433962264,0.875,0.4057971014492754,0.6122881355932204,0.7066666666666667
logistic_regression,0.45,0.5466666666666666,0.29545454545454547,0.8125,0.43333333333333335,0.6122881355932204,0.5866666666666667
logistic_regression,0.5,0.5466666666666666,0.25,0.5625,0.34615384615384615,0.6122881355932204,0.48
logistic_regression,0.55,0.5866666666666667,0.2,0.3125,0.24390243902439024,0.6122881355932204,0.3333333333333333
logistic_regression,0.6,0.6533333333333333,0.2222222222222222,0.25,0.23529411764705882,0.6122881355932204,0.24
logistic_regression,0.65,0.7333333333333333,0.3,0.1875,0.23076923076923078,0.6122881355932204,0.13333333333333333
logistic_regression,0.7,0.7866666666666666,0.5,0.125,0.2,0.6122881355932204,0.05333333333333334
logistic_regression,0.75,0.7866666666666666,0.0,0.0,0.0,0.6122881355932204,0.0
logistic_regression,0.8,0.7866666666666666,0.0,0.0,0.0,0.6122881355932204,0.0
logistic_regression,0.85,0.7866666666666666,0.0,0.0,0.0,0.6122881355932204,0.0
logistic_regression,0.9,0.7866666666666666,0.0,0.0,0.0,0.6122881355932204,0.0
logistic_regression,0.95,0.7866666666666666,0.0,0.0,0.0,0.6122881355932204,0.0
random_forest,0.05,0.21333333333333335,0.21333333333333335,1.0,0.3516483516483517,0.4830508474576271,1.0
random_forest,0.1,0.22666666666666666,0.20833333333333334,0.9375,0.3409090909090909,0.4830508474576271,0.96
random_forest,0.15,0.25333333333333335,0.21428571428571427,0.9375,0.3488372093023256,0.4830508474576271,0.9333333333333333
random_forest,0.2,0.3466666666666667,0.22950819672131148,0.875,0.36363636363636365,0.4830508474576271,0.8133333333333334
random_forest,0.25,0.5066666666666667,0.23076923076923078,0.5625,0.32727272727272727,0.4830508474576271,0.52
random_forest,0.3,0.5866666666666667,0.14285714285714285,0.1875,0.16216216216216217,0.4830508474576271,0.28
random_forest,0.35,0.68,0.0,0.0,0.0,0.4830508474576271,0.10666666666666667
random_forest,0.4,0.7066666666666667,0.0,0.0,0.0,0.4830508474576271,0.08
random_forest,0.45,0.7733333333333333,0.0,0.0,0.0,0.4830508474576271,0.013333333333333334
random_forest,0.5,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.55,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.6,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.65,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.7,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.75,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.8,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.85,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.9,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
random_forest,0.95,0.7866666666666666,0.0,0.0,0.0,0.4830508474576271,0.0
DL_MLP,0.05,0.21333333333333335,0.21333333333333335,1.0,0.3516483516483517,0.4322033898305085,1.0
DL_MLP,0.1,0.21333333333333335,0.21333333333333335,1.0,0.3516483516483517,0.4322033898305085,1.0
DL_MLP,0.15,0.22666666666666666,0.21621621621621623,1.0,0.35555555555555557,0.4322033898305085,0.9866666666666667
DL_MLP,0.2,0.22666666666666666,0.2,0.875,0.32558139534883723,0.4322033898305085,0.9333333333333333
DL_MLP,0.25,0.29333333333333333,0.20634920634920634,0.8125,0.3291139240506329,0.4322033898305085,0.84
DL_MLP,0.3,0.4666666666666667,0.18421052631578946,0.4375,0.25925925925925924,0.4322033898305085,0.5066666666666667
DL_MLP,0.35,0.7466666666666667,0.2,0.0625,0.09523809523809523,0.4322033898305085,0.06666666666666667
DL_MLP,0.4,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.45,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.5,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.55,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.6,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.65,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.7,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.75,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.8,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.85,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.9,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
DL_MLP,0.95,0.7866666666666666,0.0,0.0,0.0,0.4322033898305085,0.0
