feature,feature_value,shap_value
industry_Cybersecurity,True,-0.038051648601591326
recent_upgrade_90d,2,-0.027687531698753515
active_subscriptions,13,-0.021644921021687684
health_score,10.762209409369962,-0.01763165178022765
auto_renew_ratio,0.625,-0.01763101300033842
total_usage_count,789,-0.016337400685524816
active_subscription_ratio,0.8125,0.016221750127904402
avg_first_response_time_minutes,108.0,-0.015755182972713954
total_error_count,42,-0.015401865924299932
total_subscriptions,16,-0.014934876163458361
avg_satisfaction_score,3.0,-0.01472714559995204
usage_per_subscription,49.3125,-0.014314777550912575
industry_DevTools,False,-0.014032315054857667
country_US,False,-0.01241710904759739
latest_plan_tier_Basic,True,-0.01115542399007185
avg_subscription_duration_days,77.5625,-0.010977732463843252
max_subscription_duration_days,236,-0.00986881725308738
account_age_days,299,-0.00836979836084386
max_mrr_amount,4776,-0.007587895046269601
max_sub_seats,34,-0.007059959266760926
total_usage_duration_secs,241275,-0.007039884022633902
avg_arr_amount,10978.5,-0.006571901062978523
upgrade_count,2,-0.0064629415584644195
error_rate,0.053231939163498,0.005827271435417708
days_since_last_subscription_change,0,-0.005758765120785158
ended_subscriptions_count,3,0.005693951099082018
avg_sub_seats,13.75,-0.005235792528550573
seats,3,-0.005167301433015098
latest_plan_tier_Enterprise,False,-0.00465965909682244
error_per_subscription,2.625,-0.004542471272213854
unique_feature_count,37,-0.004406338281764081
total_arr_amount,175656,-0.003820714496103531
avg_resolution_time_hours,42.0,-0.003570276205060451
referral_source_ads,False,-0.0031000484920287036
recent_downgrade_90d,0,0.0030109109532886953
country_CA,True,-0.00301015709909799
beta_feature_usage_count,9,-0.0027031989339229593
latest_billing_frequency_monthly,False,-0.002596127435338311
plan_tier_Basic,True,-0.002560062138657579
days_since_last_usage,0,0.002389951566280259
referral_source_other,False,-0.002205391993121945
auto_renew_count,10,-0.0019472364678910182
avg_mrr_amount,914.875,-0.0018178559104961055
trial_subscription_count,2,-0.0017906390483851556
industry_HealthTech,False,-0.0016820603665129812
latest_plan_tier_Pro,False,-0.0015915444083342144
referral_source_organic,False,0.0015269290330713764
is_trial,0,-0.0013384698952648142
downgrade_count,0,-0.001222305005593551
country_UK,False,0.001207898884934029
industry_EdTech,False,0.0011200022755116746
latest_billing_frequency_annual,True,-0.0010774626124428724
referral_source_partner,False,0.0008467246569857831
referral_source_event,True,0.0008202047935659196
country_AU,False,0.0008135023209493016
country_IN,False,0.00077003626558262
latest_is_trial,0,0.0007125278473167338
plan_tier_Pro,False,-0.0006791951520993663
plan_tier_Enterprise,False,-0.0005261115177259742
total_tickets,2.0,0.0004952453229591874
avg_satisfaction_score_missing_flag,0,-0.0004497406176741195
escalation_count,0.0,-0.00037631350574643434
country_FR,False,-0.00033116250440122383
escalation_ratio,0.0,-0.00032089429903902543
ticket_per_subscription,0.125,-0.0001636848459301164
latest_auto_renew_flag,1,0.0001414196726180031
country_DE,False,-0.00010611808991655821
avg_resolution_time_hours_missing_flag,0,-9.894424731049417e-05
avg_first_response_time_minutes_missing_flag,0,-8.004958364108446e-05
industry_FinTech,False,-9.77353759032598e-06
has_no_ticket_history,0,0.0
is_inactive_user,0,0.0
